Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5321;4983;5659;93,6;31;29;1;2;100;1;5052;268;54;77;124;12;11;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5327;5019;5635;93,6;31;29;1;0;100;2;5053;274;64;78;117;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5327;5019;5635;93,6;31;29;1;0;100;Totalt i retning Tomasjordnes;5053;274;64;78;117;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5321;4983;5659;93,6;31;29;1;2;100;Totalt i retning Kroken;5051;268;54;77;124;12;11;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;10648;10004;11292;93,6;31;29;1;2;100;Totalt;10105;542;118;156;241;26;25;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5074;4593;5555;100;30;30;0;1;100;1;4795;278;64;82;118;13;12;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5082;4631;5533;100;30;30;0;0;100;2;4796;286;73;84;113;16;15;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5082;4631;5533;100;30;30;0;0;100;Totalt i retning Tomasjordnes;4797;286;73;84;113;16;15;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5073;4592;5554;100;30;30;0;1;100;Totalt i retning Kroken;4795;278;64;82;118;13;12;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;10156;9227;11085;100;30;30;0;1;100;Totalt;9591;563;137;166;231;28;27;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5379;4952;5806;100;31;31;0;1;100;1;5056;322;73;100;133;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5398;5002;5794;100;31;31;0;1;100;2;5056;342;86;107;129;19;18;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5397;5002;5792;100;31;31;0;0;100;Totalt i retning Tomasjordnes;5055;341;86;107;129;19;18;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5380;4952;5808;100;31;31;0;1;100;Totalt i retning Kroken;5056;323;73;100;133;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;10777;9954;11600;100;31;31;0;2;100;Totalt;10111;664;159;207;262;36;34;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5550;5161;5939;100;30;30;0;0;100;1;5181;369;103;127;122;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5552;5199;5905;100;30;30;0;0;100;2;5161;390;120;134;116;19;18;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5552;5199;5905;100;30;30;0;0;100;Totalt i retning Tomasjordnes;5161;390;120;134;116;19;18;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5551;5162;5940;100;30;30;0;1;100;Totalt i retning Kroken;5181;369;103;127;122;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;11102;10361;11843;100;30;30;0;0;100;Totalt;10342;760;223;261;238;38;35;3
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4034;3760;4308;100;31;31;0;0;100;1;3763;270;73;97;86;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4035;3793;4277;100;31;31;0;0;100;2;3751;284;82;101;85;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4036;3794;4278;100;31;31;0;0;100;Totalt i retning Tomasjordnes;3752;284;81;101;85;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4033;3759;4307;100;31;31;0;1;100;Totalt i retning Kroken;3762;270;73;97;86;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;8069;7555;8583;100;31;31;0;1;100;Totalt;7514;554;154;198;171;31;30;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5071;4717;5425;100;31;31;0;0;100;1;4752;319;78;117;107;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5096;4771;5421;100;31;31;0;0;100;2;4758;339;90;126;105;19;17;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5097;4772;5422;100;31;31;0;0;100;Totalt i retning Tomasjordnes;4758;339;90;126;105;19;17;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5071;4717;5425;100;31;31;0;1;100;Totalt i retning Kroken;4751;319;78;117;107;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;10168;9490;10846;100;31;31;0;1;100;Totalt;9509;658;167;243;212;35;32;3
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5480;5136;5824;100;30;30;0;0;100;1;5123;357;84;124;127;21;19;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5475;5169;5781;100;30;30;0;0;100;2;5106;369;95;131;118;25;23;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5476;5170;5782;100;30;30;0;0;100;Totalt i retning Tomasjordnes;5107;369;95;131;118;25;23;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5480;5136;5824;100;30;30;0;1;100;Totalt i retning Kroken;5123;357;84;124;127;21;19;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;10956;10308;11604;100;30;30;0;1;100;Totalt;10229;726;179;256;245;46;42;4
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5174;4816;5532;100;31;31;0;1;100;1;4870;303;64;101;121;18;17;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5189;4866;5512;100;31;31;0;0;100;2;4871;318;78;106;114;20;19;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5190;4867;5513;100;31;31;0;1;100;Totalt i retning Tomasjordnes;4872;318;78;106;114;20;19;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5174;4816;5532;100;31;31;0;2;100;Totalt i retning Kroken;4869;303;64;100;121;18;17;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;10364;9683;11045;100;31;31;0;2;100;Totalt;9741;621;141;207;235;38;36;2
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5191;4864;5518;100;30;30;0;2;100;1;4902;288;58;89;125;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5192;4894;5490;100;30;30;0;0;100;2;4892;301;74;90;120;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5193;4895;5491;100;30;30;0;1;100;Totalt i retning Tomasjordnes;4892;301;74;90;120;17;16;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5191;4864;5518;100;30;30;0;2;100;Totalt i retning Kroken;4901;288;58;89;125;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;10384;9760;11008;100;30;30;0;2;100;Totalt;9793;588;133;179;245;31;30;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5039;4659;5419;100;31;31;0;0;100;1;4794;245;50;70;115;10;10;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5030;4660;5400;100;31;31;0;0;100;2;4772;258;65;71;112;10;10;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5031;4661;5401;100;31;31;0;1;100;Totalt i retning Tomasjordnes;4772;258;65;71;112;10;10;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5039;4659;5419;100;31;31;0;1;100;Totalt i retning Kroken;4793;245;50;70;115;10;10;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;10069;9320;10818;100;31;31;0;0;100;Totalt;9566;503;115;141;227;20;20;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4751;4438;5064;100;31;31;0;1;100;1;4491;259;55;71;122;11;11;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4771;4489;5053;100;31;31;0;0;100;2;4496;275;72;73;117;12;12;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4771;4489;5053;100;31;31;0;0;100;Totalt i retning Tomasjordnes;4496;275;72;73;117;12;12;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4750;4437;5063;100;31;31;0;0;100;Totalt i retning Kroken;4491;259;55;71;122;11;11;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;9522;8928;10116;100;31;31;0;1;100;Totalt;8987;534;127;144;239;23;23;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4917;4616;5218;100;28;28;0;0;100;1;4641;276;56;78;129;13;13;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4922;4651;5193;100;28;28;0;0;100;2;4631;291;72;80;125;14;14;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4922;4651;5193;100;28;28;0;0;100;Totalt i retning Tomasjordnes;4631;291;72;80;125;14;14;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4917;4616;5218;100;28;28;0;0;100;Totalt i retning Kroken;4641;276;56;78;129;13;13;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;9839;9268;10410;100;28;28;0;0;100;Totalt;9272;567;128;157;254;28;27;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5117;4840;5394;100;31;31;0;3;99,9;1;4815;299;60;91;134;14;14;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5116;4863;5369;100;31;31;0;0;100;2;4798;318;79;94;130;15;15;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5116;4864;5368;100;31;31;0;0;100;Totalt i retning Tomasjordnes;4798;318;79;94;130;15;15;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5117;4840;5394;100;31;31;0;3;99,9;Totalt i retning Kroken;4815;299;60;91;134;14;14;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;10233;9705;10761;100;31;31;0;3;100;Totalt;9613;617;139;185;264;29;29;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4728;4258;5198;100;30;30;0;0;100;1;4481;247;48;75;112;12;12;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4730;4285;5175;100;30;30;0;0;100;2;4473;258;59;78;107;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4731;4286;5176;100;30;30;0;0;100;Totalt i retning Tomasjordnes;4473;258;59;78;107;15;14;1
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4727;4257;5197;100;30;30;0;0;100;Totalt i retning Kroken;4480;247;48;75;112;12;12;0
13980V1126353;Lunheim;FV864 S1D1 m1417;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;9458;8545;10371;100;30;30;0;0;100;Totalt;8953;505;106;153;219;26;25;1
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4334;3894;4774;100;31;31;0;1;100;1;3817;516;254;134;68;60;56;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;609;496;722;100;31;31;0;1;99,8;3;578;30;25;3;2;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;2;1;3;100;31;31;0;1;50;Totalt i retning Tomasjord;1;0;0;0;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4941;4401;5481;100;31;31;0;1;100;Totalt i retning Tromsøya;4394;546;279;137;70;60;56;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4942;4401;5483;100;31;31;0;1;100;Totalt;4395;546;279;137;70;60;56;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;4819;4381;5257;100;28;28;0;1;100;1;4259;559;265;146;77;71;66;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;628;530;726;100;28;28;0;0;100;3;601;27;23;3;1;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;0;0;0;100;28;28;0;0;-;Totalt i retning Tomasjord;0;0;0;0;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5447;4913;5981;100;28;28;0;1;100;Totalt i retning Tromsøya;4860;586;288;149;78;71;66;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5447;4913;5981;100;28;28;0;1;100;Totalt;4860;586;288;149;78;71;66;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;4877;4458;5296;100;31;31;0;1;100;1;4297;579;278;149;79;74;69;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;678;579;777;100;31;31;0;1;99,9;3;647;30;26;3;1;1;1;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;1;0;2;100;31;31;0;0;100;Totalt i retning Tomasjord;0;0;0;0;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5554;5037;6071;100;31;31;0;1;100;Totalt i retning Tromsøya;4944;609;303;152;80;74;69;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5555;5038;6072;100;31;31;0;2;100;Totalt;4944;609;303;152;80;74;69;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;4429;3863;4995;100;30;30;0;0;100;1;3920;509;234;139;70;65;61;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;572;451;693;100;30;30;0;0;100;3;549;23;19;2;1;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;0;0;0;100;30;30;0;0;-;Totalt i retning Tomasjord;0;0;0;0;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5002;4318;5686;100;30;30;0;1;100;Totalt i retning Tromsøya;4469;532;254;142;70;66;62;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5002;4318;5686;100;30;30;0;1;100;Totalt;4469;532;254;142;70;66;62;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;4767;4281;5253;100;31;31;0;1;100;1;4157;609;267;184;78;78;74;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;684;561;807;100;31;31;0;0;100;3;653;31;25;4;1;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;1;0;2;100;31;31;0;0;100;Totalt i retning Tomasjord;0;1;0;1;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5450;4844;6056;100;31;31;0;1;100;Totalt i retning Tromsøya;4810;639;292;188;79;80;75;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5451;4845;6057;100;31;31;0;2;100;Totalt;4810;639;293;189;79;80;75;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5091;4589;5593;100;30;30;0;0;100;1;4354;737;320;239;84;94;89;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;771;617;925;100;30;30;0;0;100;3;732;40;30;7;2;1;1;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;0;-1;1;100;30;30;0;0;-;Totalt i retning Tomasjord;0;0;0;0;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5862;5227;6497;100;30;30;0;1;100;Totalt i retning Tromsøya;5085;776;349;246;86;94;89;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5862;5227;6497;100;30;30;0;0;100;Totalt;5085;776;349;246;86;94;89;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;3529;3190;3868;100;31;31;0;0;100;1;3029;500;221;168;47;63;59;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;359;303;415;100;31;31;0;0;100;3;341;17;13;3;1;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;0;0;0;100;31;31;0;0;-;Totalt i retning Tomasjord;0;0;0;0;0;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;3888;3495;4281;100;31;31;0;1;100;Totalt i retning Tromsøya;3370;517;234;171;48;63;59;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;3888;3495;4281;100;31;31;0;1;100;Totalt;3370;517;234;171;48;63;59;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;4569;4147;4991;100;31;31;0;0;100;1;3947;622;274;209;63;76;72;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;638;522;754;100;31;31;0;0;100;3;606;32;25;5;1;1;1;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;0;0;0;100;31;31;0;0;-;Totalt i retning Tomasjord;-;-;-;-;-;-;-;-
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5207;4678;5736;100;31;31;0;1;100;Totalt i retning Tromsøya;4552;654;299;214;64;77;73;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5207;4678;5736;100;31;31;0;1;100;Totalt;4552;654;299;214;64;77;73;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;4937;4499;5375;100;30;30;0;0;100;1;4244;693;313;218;80;82;77;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;749;637;861;100;30;30;0;1;99,9;3;714;35;28;5;1;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;0;0;0;100;30;30;0;0;-;Totalt i retning Tomasjord;-;-;-;-;-;-;-;-
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5686;5137;6235;100;30;30;0;1;100;Totalt i retning Tromsøya;4957;728;341;223;81;83;78;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5686;5137;6235;100;30;30;0;0;100;Totalt;4958;728;341;223;81;83;78;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;4736;4299;5173;100;31;31;0;1;100;1;4105;630;283;194;75;78;74;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;701;585;817;100;31;31;0;0;100;3;667;34;28;4;1;0;0;0
